1|8 9 12 9 15 
-1|3 7 3 4 17 4 3 3 3 12 4 
1|4 5 9 4 10 9 9 6 8 8 3 5 3 9 6 3 9 6 4 9 12 15 
-1|3 
1|15 15 12 13 9 17 3 15 4 12 3 20 8 6 7 8 3 12 14 4 9 7 9 7 9 16 5 20 21 24 20 3 24 3 21 21 24 23 9 27 9 21 21 24 19 3 24 4 20 21 24 22 9 28 8 20 21 24 19 3 24 4 
-1|28 3 3 24 3 3 21 3 3 16 3 4 3 19 3 3 3 24 4 8 7 24 4 4 20 4 4 16 4 4 15 4 11 3 
1|16 15 12 15 9 19 8 21 7 24 3 8 16 2 17 3 21 3 10 6 15 4 21 12 4 15 9 16 15 16 14 16 10 6 16 16 13 16 10 6 16 16 13 15 
-1|14 3 4 24 4 
1|4 3 4 10 8 14 4 4 4 11 8 14 4 4 4 11 9 9 9 12 4 11 15 
-1|3 17 4 3 8 9 12 19 9 9 12 15 9 9 12 12 9 9 12 7 9 12 12 12 8 9 9 12 12 12 9 9 16 8 
1|27 4 28 5 27 9 4 18 10 20 9 24 9 16 6 19 8 21 16 8 12 3 21 21 24 20 3 24 3 9 9 12 10 9 16 8 20 21 24 19 3 24 4 8 9 12 10 9 16 20 24 28 28 31 29 27 9 12 15 15 18 17 16 
-1|3 12 5 5 10 6 7 9 8 8 7 12 25 
1|20 9 19 8 15 9 20 14 6 15 4 15 18 8 16 5 3 16 3 20 9 7 
-1|3 17 4 3 8 9 12 19 9 9 12 15 9 9 12 12 9 9 12 7 9 12 12 12 8 9 9 12 12 12 9 9 16 8 
1|9 9 15 6 15 9 10 16 3 12 12 3 3 3 3 3 2 9 9 9 3 6 3 3 3 5 4 
-1|28 17 7 21 16 8 20 17 16 20 17 12 16 12 20 15 20 16 21 16 12 
1|
-1|28 17 7 21 16 8 20 17 16 20 17 12 16 12 20 15 20 16 21 16 12 
1|
-1|8 26 9 9 9 8 9 9 15 15 15 16 15 15 16 16 16 15 15 16 24 21 20 16 8 15 28 20 12 4 12 5 5 5 9 
1|3 8 9 
-1|8 
1|9 8 8 5 
-1|4 3 
1|
-1|4 3 19 3 3 3 24 4 8 7 24 4 4 20 4 4 16 4 4 15 4 11 3 
1|9 8 9 8 19 10 15 10 16 7 9 10 4 20 16 15 8 8 15 15 16 3 3 16 5 15 15 4 16 15 
-1|3 7 3 4 17 4 3 3 3 12 3 12 5 5 10 6 7 9 8 8 7 12 25 
1|
-1|14 3 4 24 4 
